Soil_ID,latitude,longitude,Depth_cm,Texture,pH,Organic_Matter_%,Moisture_Content_%,Bulk_Density_g/cm³,Nitrogen_N_ppm,Phosphorus_P_ppm,Potassium_K_ppm,Cation_Exchange_Capacity_meq/100g,Electrical_Conductivity_dS/m,Soil_Color,Porosity_%,Water_Holding_Capacity_%
39,33.16194477,76.67926978,16.217729,clayey,4.792353746,2.931390727,23.10707258,1.332708873,132.937834,18.17261083,116.4603227,20.19023242,0.116523044,brown,28.7736618,31.11887316
88,24.76034484,81.35677329,13.69624585,clayey,4.851811866,3.569818709,19.97213742,1.500302525,99.3148817,17.47649013,217.3664321,24.28928216,3.311277058,black,38.60771603,28.75860193
94,11.02989556,96.09160331,14.95263061,clayey,8.311227422,8.286513206,13.01189222,1.194370513,102.209841,21.04024877,381.2004423,24.78789392,3.676617431,yellow,38.48105932,54.83634009
147,19.72158012,92.58962029,23.71314754,sandy,6.817923746,6.245678501,22.2248594,1.146230797,135.6394211,19.27913863,227.8748512,12.11678391,1.302849199,red,25.06538023,31.90694282
201,25.56569631,93.10716437,7.973019557,clayey,5.157009304,5.578691591,30.21384407,0.995175372,99.39010437,21.87461543,339.9949957,23.21453922,3.472192965,black,31.66188845,59.34049037
285,14.09042538,82.6812059,8.23772269,sandy,7.35335259,4.503035067,5.999348113,1.225803035,56.57887652,31.86221426,278.8512608,15.77021832,3.794599647,yellow,46.86966072,26.45341093
321,8.860799647,92.18400279,6.235509423,sandy,5.046198307,6.496418482,25.09339724,1.272051945,86.3024374,32.55220387,168.2856028,36.93954549,0.70606895,brown,26.5092467,28.20339342
356,25.63547008,90.97340247,5.199635309,loamy,5.435346675,8.841533614,13.55454865,1.339574722,41.64093267,47.71186424,337.974491,33.56779956,4.825803362,brown,28.93486297,34.55121641
358,15.43960463,81.22168796,8.781355501,loamy,7.170649333,9.546726047,9.874832455,1.544378738,121.0662746,29.74099102,174.8468878,31.73231061,2.398308925,yellow,44.63696712,59.41983823
462,26.85785438,92.96388249,16.07110716,loamy,5.045798221,9.860426355,7.888190555,1.591013246,61.19699119,40.18336735,250.1151108,15.75306339,4.165327074,black,32.69613317,43.62729219
481,23.29175486,78.46613177,24.77316013,clayey,6.769658482,9.881632249,8.584902265,1.155620804,58.91104385,38.45487346,224.2742444,29.29345894,4.009960414,brown,29.766514,28.32885528
653,15.63140124,73.31053719,8.186542893,clayey,5.16170089,1.856129451,33.10442153,1.091143779,175.8259928,25.84960606,343.4173767,21.70073435,2.29753008,black,36.10048088,58.68585994
733,29.73549973,88.13210834,22.83240626,loamy,6.652712391,7.699355243,6.422029356,1.340701446,22.46535637,25.80247924,318.534535,13.80724463,3.877451373,red,41.24974528,47.36138619
780,25.40657392,70.43183533,29.79430558,sandy,6.707774793,4.502774593,29.33556549,1.083135227,182.1159231,47.13228974,351.8277844,32.03487561,1.428167106,brown,46.64867162,55.27767054
850,17.16930312,81.36443071,18.19537014,clayey,5.256415155,6.676675537,6.436467466,1.442402243,155.9119579,30.38026154,176.5459132,25.76992723,4.737333098,yellow,26.10935457,29.75980232
878,28.60630954,71.93349319,24.93852805,clayey,8.510799693,8.4823529,12.14117837,1.027534368,44.92849626,49.40188819,339.9940042,11.47852807,4.492959449,red,42.91233873,56.52397167
895,30.25532458,73.22464581,25.91776527,clayey,4.866920183,7.055633371,9.776440148,1.468863723,131.6527095,33.74766977,183.6969243,19.58271257,0.466336988,red,47.3539673,23.63304031
962,18.5673797,77.31996074,20.24821297,sandy,6.847222685,7.89689199,21.71408661,1.029987693,139.4434558,21.55174885,378.935219,24.70809362,3.177498152,yellow,40.78540954,59.32558711
